امنیت پایگاه  داده	ردیف	شرح ویژگی	درصد اجرا	مرتبه اجرا	توضیحات 
	24	"پيكربندي مميزي پايگاه داده، بايد هماهنگ با الزامات مورد نياز برنامه‌هاي كاربردي انجام پذيرد."			
	25	مجوز دسترسي به فايل‌هاي مميزي و اشياء مميزي پايگاه داده بايد به مديران پايگاه داده و مميزكنندگان اختصاص يابد.			
	26	"روش‌هاي اجرايي براي محدوديت از استفاده و دسترسي به حساب كاربري نصب نرم‌افزار DBMS‌، طراحي و اعمال گردد."			
	27	"روش‌هاي اجرايي رويدادنگاري استفاده از حساب‌كاربري نصب نرم‌افزار DBMS بايد طراحي و پياده‌سازي شود، به نحوي كه مسووليت انجام هر عمليات توسط اين حساب كاربري را دقيقاً  مشخص نمايد."			
	28	"سياستي در راستاي آموزش كاربران مجاز براي محدوديت استفاده از حساب كاربري نصب نرم‌افزار DBMS صرفاً براي عمليات‌هاي نصب، به‌روزرساني و نگهداري بايد اجرا شود. "			
	29	"روش‌هاي اجرايي براي پايش تغييرات غيرمجاز برروي كتابخانه‌هاي نرم‌افزار DBMS، كتابخانه‌هاي برنامه‌هاي كاربردي وابسته و فايل‌هاي پيكربندي بايد طراحي و اعمال گردد."			
	30	روش‌هاي اجرايي براي پایش صف وظايف پايگاه داده براي شناسايي وظيفه‌‌هاي غيرمجاز بايد طراحي و اعمال گردد.			
	31	"روش‌هاي اجرايي براي بازبيني ركوردهاي مميزي كه نشان‌دهنده ارتباط برنامه‌هاي كاربردي با پايگاه داده مي‌باشد، بايد طراحي و اعمال گردد. ركوردهاي مميزي بايد حاوي اطلاعات برنامه‌هاي كاربردي كه به DBMS‌دسترسي پيدا كرده‌اند، باشد. در طرح امنيتي سيستمي بايد ليستي از برنامه‌هاي كاربردي كه مجاز به دسترسي به پايگاه داده هستند، تهيه گردد."			
	32	"روش‌هاي اجرايي براي تعريف و توليد فايل‌هاي پيكربندي ارتباط مجاز كاربر داراي مجوز پايگاه داده ايستگاه كاري، به پايگاه داده سايت ايجاد و اعمال شود."			
	33	"براي هر يك از كاربران، برنامه‌هاي كاربردي و فرآيندهايي كه نياز به ارتباط با پايگاه داده دارند، بايد يك حساب‌كاربري اختصاصي توليد شود. حساب‌هاي كاربري مشترك در برنامه‌هاي كاربردي كه از حساب‌هاي كاربري اختصاصي پشتيباني نمي‌كند بايد مستند شود و عمليات رويدادنگاري فعاليت‌هاي انجامي آن‌ها صورت گيرد."			
	34	نقشي براي ترميم پايگاه داده بايد تعيين گردد و عمليات ترميم به اين حساب كاربري مجوزدار اختصاص داده شود.			
	35	روش‌هاي اجرايي براي ترميم و پشتيبان‌گيري پايگاه داده طراحي و اعمال شود. در مستندات مربوطه كاربران مجاز و سطح دسترسي هركدام به فايل‌هاي ترميم و پشتيبان مشخص شود.			
	36	"تشخيص هويت PKI براي كليه كاربران تعريف شده برروي پايگاه داده، اعمال شود."			
	37	"روش اجرايي براي اختصاص رمز عبور موقت به حساب‌هاي كاربري، بايد اعمال شود. تعيين رمز عبور در اين روش اجرايي بايد بر اساس سياست‌ها و پيچيدگي‌هاي تعيين شده در طرح امنيتي سيستمي باشد. رمز عبور موقت تعيين شده بايد پس از دوره زماني كوتاه منقضي شود و همچنين كاربر در استفاده اول از آن، ملزم به تغيير آن باشد. براي ايجاد رمز عبور، كاربر بايد بر اساس سياست تدوين شده در طرح امنيتي براي پيچيدگي رمز عبور در انتخاب كاراكترها و طول رمز عبور، محدوديت داشته باشد."			
	38	"ليستي از برنامه‌هاي كاربردي ميزبان كه به پايگاه داده دسترسي دارند، تهيه شود. در اين ليست تعيين گردد كه آيا هركدام از اين برنامه‌هاي كاربردي از اعتبارنامه‌هاي ذخيره شده در سيستم ميزبان استفاده مي‌كنند و يا خير. در صورت استفاده از رمزهاي عبور ذخيره شده، اطمينان از رمزنگاري در هنگام ذخيره سازي و استفاده از حفاظ‌هاي امنيتي سيستم ميزبان براي آن‌ها ضروري است."			
	39	"پيكربندي برنامه‌هاي كاربردي كه رمز عبور را به صورت واضح نمايش مي‌دهند بايد تغيير كند. در غير اين صورت و عدم تغيير اين پارامتر در برنامه‌كاربردي، بايد سياستي تدوين گردد و به كاربران آموزش داده شود كه استفاده از اين پارامتر ممنوع گردد."			
	40	"روش‌هاي اجرايي و محدوديت‌هاي اعمال شده براي خارج كردن اطلاعات از پايگاه داده، بايد مستند شود. اين مجوز بايد به كاربران مجاز اختصاص داده شود و اين كاربر بايد از محدوديت‌هاي مربوط به اين عمل كاملاً آگاه باشد."			
	41	روش اجرايي براي تعيين سطح دسترسي به پايگاه داده و سيستم ميزبان براي همه‌ي حساب‌هاي كاربري پايگاه داده بايد وجود داشته باشد. پايش حساب‌هاي كاربري براي شناسايي تغييرات اين مجوزهاي دسترسي بايد انجام گيرد.			
	42	"تغيير پيكربندي و يا توسعه DBMS بايد به نحوي باشد كه در انتخاب رمز عبور جديد، كاربر با محدوديت عدم تشابه حداقل چهار كاراكتري با رمز عبور قبلي و همچنين محدوديت زماني در تعيين رمز عبور در طي 24 ساعت روبرو باشد."			
	43	شمارش تعداد تلاش‌هاي ناموفق براي ورود به سيستم انجام گرفته و در نهايت آن حساب كاربري ناموفق بايد قفل شود.			
	44	"روش اجرايي براي پايش حساب‌هاي كاربري پايگاه داده به‌منظور شناسايي حساب‌هاي غيرفعال و منقضي شده، بايد وجود داشته باشد. اين‌كونه حساب‌ها بايد حداقل در مدت 30 روز از پايگاه داده حذف شوند."			
	45	"كليه ارتباطات بيروني و يا از راه دوري كه DBMS براي دسترسي به منابع بيروني و يا بالعكس منابع بيروني براي دسترسي به DBMS به‌كار مي‌گيرند، بايد مستند شود. اين مستندات بايد پروتوكل‌ها و پورت‌هاي شبكه، حساب‌هاي كاربري ايمن و داده‌هاي حساس در مقابل تغيير را شامل شود."			
